"","Instrument","Holdings Filing Date","Earliest Holdings Date","Holdings Pct Of Traded Shares Held","Investor Shares Held","Holdings Value Held","Investor Full Name","Holdings Filing Type","Investor Parent Type Description","Investor Turnover","Investor Turnover code","Investor Turnover %","Investor Portfolio Number Of Securities Held","Investor Portfolio Num Of  Securities Bought","Investor Portfolio Number Of Securities Sold","Holdings Percent of  Portfolio","Investor Type Description","Investor Investment Style Code","Investor Investment Orientation","Investor Address Region","Investor Address Country"
"0","ENI.MI","2021-12-31","1997-06-19","30.33","1093576917","15131470997.31","Italian Government","Shareholder Report","Strategic Entities","LOW","LOW","0.2338","14251","7400","4096","26.43","Government Agency",".","Passive","Europe","Italy"
"1","ENI.MI","2021-12-31","1999-12-31","2.4508","88366971","1222705269.31","Norges Bank Investment Management (NBIM)","Aggregate MFs","Investment Managers","LOW","LOW","15.9357","12897","7577","6095","0.02","Sovereign Wealth Fund","Core Value","Active","Europe","Norway"
"2","ENI.MI","2021-12-31","2007-03-31","1.8725","67513374","934160775.28","The Vanguard Group, Inc.","Aggregate MFs","Investment Managers","LOW","LOW","7.8596","3432","1245","1878","0.03","Investment Advisor/Hedge Fund","Index","Passive","North America","United States"
"3","ENI.MI","2021-12-31","2000-09-30","1.5587","56198663","777602769.46","BlackRock Institutional Trust Company, N.A.","Aggregate MFs","Investment Managers","LOW","LOW","10.9375","7613","3052","2904","0.09","Investment Advisor","Index","Passive","North America","United States"
"4","ENI.MI","2020-03-18","2014-03-21","1.014","36850639","374724706.71","Government of People's Republic of China","Trade Report","Strategic Entities","LOW","LOW","6.1711","10272","4991","5113","0.13","Government Agency",".","Passive","Asia / Pacific","China (Mainland)"
"5","ENI.MI","2020-09-21","2009-12-31","0.9962","35578674","278829341.48","UniCredit Bank AG","Trade Report","Investment Managers","MED","MED","89.4228","11429","6730","3335","0.76","Bank and Trust",".","Active","Europe","Germany"
"6","ENI.MI","2021-12-31","1997-03-31","0.9067","32691552","452342458.27","Amundi Asset Management, SAS","Aggregate MFs","Investment Managers","MED","MED","54.5544","1297","588","736","0.06","Investment Advisor/Hedge Fund","GARP","Active","Europe","France"
"7","ENI.MI","2021-12-31","2007-03-31","0.8281","29856137","413109735.66","MFS Investment Management","Aggregate MFs","Investment Managers","LOW","LOW","17.1799","17456","6599","4060","0.12","Investment Advisor/Hedge Fund","Core Growth","Active","North America","United States"
"8","ENI.MI","2021-12-31","2007-03-31","0.7814","28173183","389823244.11","Schroder Investment Management Ltd. (SIM)","Aggregate MFs","Investment Managers","MED","MED","66.83","14926","5454","5808","0.18","Investment Advisor/Hedge Fund","Core Growth","Active","Europe","United Kingdom"
"9","ENI.MI","2021-12-31","2007-03-31","0.6306","22736380","314595954.99","BlackRock Advisors (UK) Limited","Aggregate MFs","Investment Managers","LOW","LOW","38.4912","9687","5896","3144","0.05","Investment Advisor/Hedge Fund","Index","Passive","Europe","United Kingdom"
"10","ENI.MI","2021-12-31","2001-12-31","0.3995","14405499","199324242.25","BlackRock Asset Management Deutschland AG","Aggregate MFs","Investment Managers","LOW","LOW","24.7331","9921","4216","3056","0.03","Investment Advisor","Index","Passive","Europe","Germany"
"11","ENI.MI","2021-12-31","2003-06-30","0.3693","13313946","184220775.54","Geode Capital Management, L.L.C.","Aggregate MFs","Investment Managers","LOW","LOW","10.6013","5291","1967","4009","0.43","Investment Advisor/Hedge Fund","Index","Passive","North America","United States"
"12","ENI.MI","2021-12-31","2007-03-31","0.2835","10220750","141421220.39","Dimensional Fund Advisors, L.P.","Aggregate MFs","Investment Managers","LOW","LOW","13.6569","3441","1114","1032","0.01","Investment Advisor/Hedge Fund","Deep Value","Passive","North America","United States"
"13","ENI.MI","2021-12-31","1997-06-30","0.274","9880000","136706372.57","Mediolanum Gestione Fondi SGR p.A.","Aggregate MFs","Investment Managers","LOW","LOW","44.8438","1513","775","1199","0.04","Investment Advisor","Core Growth","Active","Europe","Italy"
"14","ENI.MI","2021-12-31","2007-03-31","0.2332","8407246","116328350.61","Charles Schwab Investment Management, Inc.","Aggregate MFs","Investment Managers","LOW","LOW","14.705","9988","2187","5335","0.01","Investment Advisor","Index","Passive","North America","United States"
"15","ENI.MI","2021-12-31","1997-12-31","0.2324","8378131","115925495.74","Anima SGR S.p.A.","Aggregate MFs","Investment Managers","MED","MED","77.904","10179","2707","3828","0.03","Investment Advisor","Core Growth","Active","Europe","Italy"
