"","Instrument","Holdings Filing Date","Earliest Holdings Date","Holdings Pct Of Traded Shares Held","Investor Shares Held","Holdings Value Held","Investor Full Name","Holdings Filing Type","Investor Parent Type Description","Investor Turnover","Investor Turnover code","Investor Turnover %","Investor Portfolio Number Of Securities Held","Investor Portfolio Num Of  Securities Bought","Investor Portfolio Number Of Securities Sold","Holdings Percent of  Portfolio","Investor Type Description","Investor Investment Style Code","Investor Investment Orientation","Investor Address Region","Investor Address Country"
"62","ENI.MI","2017-06-30","1997-03-31","0.0695","2524701","37952820.25","KBC Asset Management N.V.","Aggregate MFs","Investment Managers","LOW","LOW","42.3942","4896","1922","3462","0.08","Investment Advisor","Core Value","Active","Europe","Belgium"
"63","ENI.MI","2017-12-31","2003-03-31","0.0694","2522282","41755117.37","Sjunde AP-fonden","Aggregate MFs","Investment Managers","LOW","LOW","12.8088","5998","3412","2110","0.1","Pension Fund","Growth","Active","Europe","Sweden"
"64","ENI.MI","2017-12-31","2009-12-31","0.0692","2514239","41621969.53","Fondsmæglerselskabet Maj Invest A/S","Aggregate MFs","Investment Managers","MED","MED","56.6604","2036","776","1390","0.33","Investment Advisor","Growth","Active","Europe","Denmark"
"65","ENI.MI","2017-12-31","1997-06-30","0.0648","2356340","39008030.53","Aletti Gestielle SGR S.p.A._NLE","Aggregate MFs","Investment Managers","HIGH","HIGH","111.5201","772","626","833","0.03","Investment Advisor",".","Active","Europe","Italy"
"66","ENI.MI","2017-12-31","1997-03-31","0.0607","2207398","36542370.19","Morgan Stanley Investment Management Ltd. (UK)","Aggregate MFs","Investment Managers","LOW","LOW","47.9869","3248","1594","1662","0.16","Investment Advisor","Core Value","Active","Europe","United Kingdom"
"67","ENI.MI","2017-09-30","1999-03-31","0.0606","2202470","36421585.65","Edmond de Rothschild Asset Management (France) S.A.","Aggregate MFs","Investment Managers","LOW","LOW","47.482","2916","1744","1615","0.31","Investment Advisor","Core Value","Active","Europe","France"
"68","ENI.MI","2017-12-31","1997-06-30","0.0597","2167902","35888542.12","Amundi Ireland Limited","Aggregate MFs","Investment Managers","MED","MED","84.4914","4598","1870","3715","0.17","Investment Advisor/Hedge Fund","GARP","Active","Europe","Ireland"
"69","ENI.MI","2017-12-31","2006-09-30","0.0588","2138587","35403246.84","Lyxor Asset Management_NLE","Aggregate MFs","Investment Managers","HIGH","HIGH","231.8609","4385","2668","1780","0.18","Investment Advisor/Hedge Fund",".","Passive","Europe","France"
"70","ENI.MI","2017-12-31","2012-12-31","0.0575","2088443","34573129.64","PGGM Vermogensbeheer B.V.","Aggregate MFs","Investment Managers","LOW","LOW","34.7188","4838","2452","1259","0.04","Pension Fund","GARP","Active","Europe","Netherlands"
"71","ENI.MI","2017-12-31","2007-03-31","0.0566","2056710","34047805.7","HSBC Global Asset Management (UK) Limited","Aggregate MFs","Investment Managers","MED","MED","57.0788","4462","2415","2468","0.09","Investment Advisor/Hedge Fund","Core Growth","Active","Europe","United Kingdom"
"72","ENI.MI","2017-12-31","2002-12-31","0.0549","1994000","33009673.0","Pramerica SGR S.p.A._NLE","Aggregate MFs","Investment Managers","MED","MED","61.0909","614","554","477","0.03","Investment Advisor/Hedge Fund",".","Active","Europe","Italy"
"73","ENI.MI","2017-12-31","2008-03-31","0.0524","1904300","31524734.35","Veritas Asset Management LLP","Aggregate MFs","Investment Managers","LOW","LOW","33.2426","2267","484","1091","0.1","Investment Advisor/Hedge Fund","GARP","Active","Europe","United Kingdom"
"74","ENI.MI","2017-12-31","1999-06-30","0.0505","1836581","30403680.16","Columbia Threadneedle Investments (US)","Aggregate MFs","Investment Managers","LOW","LOW","36.7681","370","44","487","0.01","Investment Advisor/Hedge Fund","Core Value","Active","North America","United States"
"75","ENI.MI","2017-12-31","2003-12-31","0.0505","1836095","30395641.85","Mellon Investments Corporation","Aggregate MFs","Investment Managers","LOW","LOW","26.6135","4514","2034","3578","0.02","Investment Advisor/Hedge Fund","GARP","Active","North America","United States"
"76","ENI.MI","2017-12-31","2008-06-30","0.0495","1797795","29761604.35","BNP Paribas Asset Management UK Limited","Aggregate MFs","Investment Managers","MED","MED","88.4764","136","33","256","0.03","Investment Advisor","GARP","Active","Europe","United Kingdom"
"77","ENI.MI","2017-12-31","2007-12-31","0.0483","1754339","29042211.83","ABN AMRO Investment Solutions (AAIS)","Aggregate MFs","Investment Managers","MED","MED","91.8345","3893","1365","3571","0.22","Investment Advisor","Growth","Active","Europe","France"
"78","ENI.MI","2017-12-31","1997-03-31","0.0482","1752694","29014979.67","Union Investment Privatfonds GmbH","Aggregate MFs","Investment Managers","LOW","LOW","42.7913","2716","502","1257","0.01","Investment Advisor","Core Growth","Active","Europe","Germany"
"79","ENI.MI","2017-12-31","1997-03-31","0.0468","1699469","28133859.56","M & G Investment Management Ltd.","Aggregate MFs","Investment Managers","MED","MED","53.2321","1003","617","972","1.29","Investment Advisor","Deep Value","Active","Europe","United Kingdom"
"80","ENI.MI","2017-12-31","2005-03-31","0.0467","1698173","28112404.93","Kutxabank Gestion, SGIIC, S.A.U.","Aggregate MFs","Investment Managers","MED","MED","51.4428","676","307","797","0.09","Investment Advisor","Growth","Active","Europe","Spain"
"81","ENI.MI","2017-12-31","2010-07-31","0.0463","1681651","27838891.48","Sienna Gestion","Aggregate MFs","Investment Managers","MED","MED","67.476","380","158","397","0.23","Investment Advisor",".","Active","Europe","France"
"82","ENI.MI","2017-12-31","1999-12-31","0.0457","1660713","27492279.84","AllianceBernstein L.P.","Aggregate MFs","Investment Managers","LOW","LOW","39.5924","4685","1562","3677","0.21","Investment Advisor/Hedge Fund","Core Growth","Active","North America","United States"
"83","ENI.MI","2017-12-31","2007-03-31","0.0449","1630717","26995704.58","Legal & General Investment Management Ltd.","Aggregate MFs","Investment Managers","LOW","LOW","16.7128","1394","734","860","0.09","Investment Advisor/Hedge Fund","Index","Passive","Europe","United Kingdom"
"84","ENI.MI","2017-12-31","2013-09-30","0.0442","1605485","26578007.7","Dodge & Cox","Aggregate MFs","Investment Managers","LOW","LOW","17.8016","5191","2480","3081","1.96","Investment Advisor/Hedge Fund","Deep Value","Active","North America","United States"
"85","ENI.MI","2017-12-31","2011-04-30","0.0437","1589444","26312450.7","Principal Management Corporation","Aggregate MFs","Strategic Entities","MED","MED","50.8973","631","225","684","0.3","Corporation",".","Active","North America","United States"
"86","ENI.MI","2017-12-31","2002-12-31","0.0428","1554020","25726024.09","Setanta Asset Management Ltd.","Aggregate MFs","Investment Managers","LOW","LOW","29.8956","3638","1228","1180","0.03","Investment Advisor","Core Value","Active","Europe","Ireland"
"87","ENI.MI","2017-12-31","2007-03-31","0.041","1489027","24650103.29","Voya Investment Management LLC","Aggregate MFs","Investment Managers","LOW","LOW","44.8993","6052","3483","2730","0.01","Investment Advisor/Hedge Fund","Core Growth","Active","North America","United States"
"88","ENI.MI","2017-12-31","2007-12-31","0.0409","1487559","24625801.27","American Century Investment Management, Inc.","Aggregate MFs","Investment Managers","LOW","LOW","43.3451","62","4","12","0.57","Investment Advisor/Hedge Fund","Core Growth","Active","North America","United States"
"89","ENI.MI","2017-12-31","1997-06-30","0.0409","1486992","24616409.06","Danske Bank Asset Management","Aggregate MFs","Investment Managers","MED","MED","82.6725","269","102","266","0.01","Investment Advisor","Core Growth","Active","Europe","Denmark"
"90","ENI.MI","2017-12-31","1997-06-30","0.0409","1485095","24585010.98","Pictet Asset Management Ltd.","Aggregate MFs","Investment Managers","LOW","LOW","44.9124","1864","730","1414","0.16","Investment Advisor/Hedge Fund","Core Growth","Active","Europe","United Kingdom"
"91","ENI.MI","2017-12-31","1997-09-30","0.0401","1458628","24146862.92","La Banque Postale Asset Management","Aggregate MFs","Investment Managers","LOW","LOW","46.299","1529","683","1104","0.9","Investment Advisor","Core Growth","Active","Europe","France"
"92","ENI.MI","2017-12-31","1998-09-30","0.0399","1450798","24017241.16","CPR Asset Management","Aggregate MFs","Investment Managers","MED","MED","65.9695","4653","1942","3428","0.17","Investment Advisor","Core Growth","Active","Europe","France"
"93","ENI.MI","2016-06-30","2010-06-30","0.0372","1353516","21822603.12","Templeton Global Advisors Ltd","Aggregate MFs","Investment Managers","LOW","LOW","38.1891","2350","604","1927","0.0","Investment Advisor","Deep Value","Active","North America","Bahamas"
"94","ENI.MI","2017-12-31","2012-06-30","0.0372","1352171","22384520.1","Exane Asset Management","Aggregate MFs","Investment Managers","HIGH","HIGH","109.0","1578","982","1881","0.04","Investment Advisor/Hedge Fund","Hedge Fund","Active","Europe","France"
"95","ENI.MI","2017-12-31","1997-03-31","0.0371","1348417","22322369.23","BBVA Asset Management, S.A., S.G.I.I.C.","Aggregate MFs","Investment Managers","MED","MED","57.9258","5495","2536","2895","0.01","Investment Advisor","Core Value","Active","Europe","Spain"
"96","ENI.MI","2017-12-31","2001-09-30","0.0366","1328429","21991477.88","Zürcher Kantonalbank (Asset Management)","Aggregate MFs","Investment Managers","MED","MED","59.9606","2645","1753","1588","0.07","Bank and Trust","Growth","Active","Europe","Switzerland"
"97","ENI.MI","2017-03-31","1999-03-31","0.0363","1317490","21535823.29","Alliance Trust Plc._NLE","Aggregate MFs","Investment Managers","LOW","LOW","43.3259","2084","738","882","0.04","Investment Advisor",".","Active","Europe","United Kingdom"
"98","ENI.MI","2017-10-31","2012-04-30","0.0357","1295726","21182787.79","Seven Investment Management LLP","Aggregate MFs","Investment Managers","MED","MED","76.631","166","49","180","0.01","Investment Advisor","Hedge Fund","Active","Europe","United Kingdom"
"99","ENI.MI","2017-12-31","2016-12-31","0.0344","1249118","20678523.93","Los Angeles Capital Management LLC","Aggregate MFs","Investment Managers","MED","MED","90.357","902","174","660","0.04","Investment Advisor/Hedge Fund","Deep Value","Passive","North America","United States"
"100","ENI.MI","2017-12-31","2003-06-30","0.0336","1222780","20242511.51","Putnam Investments Limited","Aggregate MFs","Investment Managers","MED","MED","71.849","4769","1687","3356","0.06","Investment Advisor","Core Value","Active","Europe","United Kingdom"
"101","ENI.MI","2017-12-31","2007-03-31","0.0335","1215763","20126353.33","PIMCO (US)","Aggregate MFs","Investment Managers","MED","MED","97.8324","9336","2505","3333","0.12","Investment Advisor/Hedge Fund","Yield","Active","North America","United States"
"102","ENI.MI","2017-03-31","2010-03-31","0.0332","1206777","19726097.52","British Columbia Investment Management Corp.","Aggregate MFs","Investment Managers","LOW","LOW","28.6028","8594","3384","6281","0.1","Pension Fund","Core Value","Active","North America","Canada"
"103","ENI.MI","2017-12-31","1997-06-30","0.033","1198842","19846229.89","BNP Paribas Asset Management Belgium S.A.","Aggregate MFs","Investment Managers","MED","MED","88.1844","403","42","177","0.09","Investment Advisor","Core Value","Active","Europe","Belgium"
"104","ENI.MI","2017-12-31","2001-06-30","0.0329","1194199","19769367.35","TD Greystone Asset Management_NLE","Aggregate MFs","Investment Managers","LOW","LOW","25.9773","2729","892","2271","0.01","Investment Advisor",".","Active","North America","Canada"
"105","ENI.MI","2017-12-31","2000-06-30","0.0327","1187035","19650775.54","Lemanik Invest SA","Aggregate MFs","Investment Managers","MED","MED","60.2246","3342","1329","2644","0.12","Investment Advisor","GARP","Active","Europe","Switzerland"
"106","ENI.MI","2017-12-31","2003-09-30","0.0325","1180703","19545947.81","Degroof Petercam Asset Management","Aggregate MFs","Investment Managers","LOW","LOW","46.4707","1719","717","1608","0.01","Investment Advisor","GARP","Active","Europe","Belgium"
"107","ENI.MI","2017-12-31","2007-03-31","0.0318","1155934","19135913.92","CIBC Asset Management Inc.","Aggregate MFs","Investment Managers","LOW","LOW","35.0039","4328","2430","3266","0.08","Investment Advisor","Core Value","Active","North America","Canada"
"108","ENI.MI","2017-12-31","2012-12-31","0.0317","1150800","19050923.09","Azimut Capital Management Sgr SpA","Aggregate MFs","Investment Managers","MED","MED","56.926","1465","363","517","0.55","Investment Advisor/Hedge Fund","Hedge Fund","Active","Europe","Italy"
"109","ENI.MI","2017-12-31","2007-12-31","0.0311","1130800","18719828.6","Azimut Investments S.A.","Aggregate MFs","Investment Managers","MED","MED","51.0436","538","149","292","1.29","Investment Advisor","GARP","Active","Europe","Luxembourg"
