"","Instrument","Holdings Filing Date","Earliest Holdings Date","Holdings Pct Of Traded Shares Held","Investor Shares Held","Holdings Value Held","Investor Full Name","Holdings Filing Type","Investor Parent Type Description","Investor Turnover","Investor Turnover code","Investor Turnover %","Investor Portfolio Number Of Securities Held","Investor Portfolio Num Of  Securities Bought","Investor Portfolio Number Of Securities Sold","Holdings Percent of  Portfolio","Investor Type Description","Investor Investment Style Code","Investor Investment Orientation","Investor Address Region","Investor Address Country"
"0","ENI.MI","2017-09-30","1997-06-19","30.1","1093889784","18089327191.07","Italian Government","Shareholder Report","Strategic Entities","LOW","LOW","0.0","14251","7400","4096","26.43","Government Agency",".","Passive","Europe","Italy"
"1","ENI.MI","2017-12-31","2007-03-31","1.6713","60738298","1005492391.42","The Vanguard Group, Inc.","Aggregate MFs","Investment Managers","LOW","LOW","11.1219","12897","7577","6095","0.02","Investment Advisor/Hedge Fund","Index","Passive","North America","United States"
"2","ENI.MI","2017-12-31","1999-12-31","1.4261","51826365","857959559.39","Norges Bank Investment Management (NBIM)","Aggregate MFs","Investment Managers","LOW","LOW","18.8562","3432","1245","1878","0.03","Sovereign Wealth Fund","Core Value","Active","Europe","Norway"
"3","ENI.MI","2017-12-31","2000-09-30","1.3652","49613271","821323088.51","BlackRock Institutional Trust Company, N.A.","Aggregate MFs","Investment Managers","LOW","LOW","12.4704","7613","3052","2904","0.09","Investment Advisor","Index","Passive","North America","United States"
"4","ENI.MI","2017-12-31","2007-03-31","1.2348","44873798","742863464.22","Templeton Investment Counsel, L.L.C.","Aggregate MFs","Investment Managers","LOW","LOW","37.8149","10272","4991","5113","0.13","Investment Advisor/Hedge Fund","Core Value","Active","North America","United States"
"5","ENI.MI","2017-12-31","2007-03-31","0.6891","25042691","414569325.95","Schroder Investment Management Ltd. (SIM)","Aggregate MFs","Investment Managers","LOW","LOW","47.9803","11429","6730","3335","0.76","Investment Advisor/Hedge Fund","Core Growth","Active","Europe","United Kingdom"
"6","ENI.MI","2017-12-31","2007-11-30","0.6051","21990861","364047794.3","Capital Research Global Investors","Aggregate MFs","Investment Managers","LOW","LOW","33.7196","1297","588","736","0.06","Investment Advisor","Growth","Active","North America","United States"
"7","ENI.MI","2017-12-31","2007-03-31","0.5863","21308235","352747259.52","BlackRock Advisors (UK) Limited","Aggregate MFs","Investment Managers","LOW","LOW","34.5179","17456","6599","4060","0.12","Investment Advisor/Hedge Fund","Index","Passive","Europe","United Kingdom"
"8","ENI.MI","2017-12-31","2001-12-31","0.5142","18688064","309371555.49","BlackRock Asset Management Deutschland AG","Aggregate MFs","Investment Managers","LOW","LOW","23.8008","14926","5454","5808","0.18","Investment Advisor","Index","Passive","Europe","Germany"
"9","ENI.MI","2017-12-31","2001-09-30","0.4703","17090028","282916868.53","Thornburg Investment Management, Inc.","Aggregate MFs","Investment Managers","MED","MED","53.8404","9687","5896","3144","0.05","Investment Advisor","Core Value","Active","North America","United States"
"10","ENI.MI","2017-10-31","2007-03-31","0.3506","12739804","208272898.74","INVESCO Asset Management Limited","Aggregate MFs","Investment Managers","LOW","LOW","24.5796","9921","4216","3056","0.03","Investment Advisor/Hedge Fund","Core Value","Active","Europe","United Kingdom"
"11","ENI.MI","2017-12-31","2007-03-31","0.29","10540617","174494685.29","MFS Investment Management","Aggregate MFs","Investment Managers","LOW","LOW","20.5249","5291","1967","4009","0.43","Investment Advisor/Hedge Fund","Core Growth","Active","North America","United States"
"12","ENI.MI","2017-12-31","1997-12-31","0.2734","9934278","164457043.94","Anima SGR S.p.A.","Aggregate MFs","Investment Managers","HIGH","HIGH","102.7832","3441","1114","1032","0.01","Investment Advisor","Core Growth","Active","Europe","Italy"
"13","ENI.MI","2017-12-31","1997-06-30","0.2666","9688053","160380873.39","Fideuram - Intesa Sanpaolo Private Banking Asset Management SGR S.p.A.","Aggregate MFs","Investment Managers","MED","MED","78.7147","1513","775","1199","0.04","Investment Advisor","Core Value","Active","Europe","Italy"
"14","ENI.MI","2017-12-31","2007-03-31","0.2623","9533758","157826634.04","BlackRock Investment Management (UK) Ltd.","Aggregate MFs","Investment Managers","LOW","LOW","37.8755","9988","2187","5335","0.01","Investment Advisor/Hedge Fund","Core Growth","Active","Europe","United Kingdom"
"15","ENI.MI","2017-12-31","1997-06-30","0.249","9050020","149818556.09","Mediolanum Gestione Fondi SGR p.A.","Aggregate MFs","Investment Managers","MED","MED","69.1751","10179","2707","3828","0.03","Investment Advisor","Core Growth","Active","Europe","Italy"
"16","ENI.MI","2017-12-31","1997-06-30","0.2378","8640673","143042054.92","Wellington Management Company, LLP","Aggregate MFs","Investment Managers","LOW","LOW","33.2716","6293","2315","4227","3.28","Investment Advisor/Hedge Fund","Core Value","Active","North America","United States"
"17","ENI.MI","2017-12-31","1997-04-30","0.228","8284712","137149297.16","Fidelity Management & Research Company LLC","Aggregate MFs","Investment Managers","LOW","LOW","31.2279","5521","3014","3555","0.44","Investment Advisor","GARP","Active","North America","United States"
"18","ENI.MI","2017-12-31","1997-03-31","0.2194","7973780","132001972.15","DWS Investment GmbH","Aggregate MFs","Investment Managers","LOW","LOW","48.0378","4692","2027","2836","0.09","Investment Advisor/Hedge Fund","GARP","Active","Europe","Germany"
"19","ENI.MI","2017-12-31","2013-01-31","0.2103","7642556","126518693.3","DWS International GmbH","Aggregate MFs","Investment Managers","MED","MED","51.3421","5498","910","2812","2.66","Investment Advisor",".","Active","Europe","Germany"
"20","ENI.MI","2017-12-31","2007-03-31","0.1981","7199584","119185541.44","State Street Global Advisors (US)","Aggregate MFs","Investment Managers","LOW","LOW","9.9914","8835","4757","4998","0.06","Investment Advisor/Hedge Fund","Index","Passive","North America","United States"
"21","ENI.MI","2017-06-30","2016-06-30","0.1864","6773555","101824142.89","California Public Employees' Retirement System","Shareholder Report","Investment Managers","LOW","LOW","18.962","3371","1686","1836","0.19","Pension Fund","Index","Passive","North America","United States"
"22","ENI.MI","2017-12-31","1997-01-31","0.1859","6755032","111826203.62","UBS Asset Management (Switzerland)","Aggregate MFs","Investment Managers","LOW","LOW","20.9684","9926","2990","3130","0.23","Investment Advisor","Core Value","Active","Europe","Switzerland"
"23","ENI.MI","2017-12-31","1997-03-31","0.178","6467818","107071518.34","Deka Investment GmbH","Aggregate MFs","Investment Managers","LOW","LOW","30.4844","3318","1422","1635","0.04","Investment Advisor/Hedge Fund","Core Growth","Active","Europe","Germany"
"24","ENI.MI","2017-12-31","2003-06-30","0.1713","6223732","103030771.39","Geode Capital Management, L.L.C.","Aggregate MFs","Investment Managers","LOW","LOW","12.6975","6948","3700","3198","0.02","Investment Advisor/Hedge Fund","Index","Passive","North America","United States"
"25","ENI.MI","2017-12-31","1997-03-31","0.1692","6150843","101824154.46","Amundi Asset Management, SAS","Aggregate MFs","Investment Managers","MED","MED","82.7383","6026","2192","3091","0.27","Investment Advisor/Hedge Fund","GARP","Active","Europe","France"
"26","ENI.MI","2017-12-31","2016-06-30","0.1635","5942900","98381738.05","MFS International Singapore Pte. Ltd","Aggregate MFs","Investment Managers","HIGH","HIGH","152.2702","8517","3935","3015","0.44","Investment Advisor",".","Active","Asia / Pacific","Singapore"
"27","ENI.MI","2017-12-31","1997-12-31","0.1603","5826032","96447046.74","Brandes Investment Partners, L.P.","Aggregate MFs","Investment Managers","LOW","LOW","37.142","7571","1942","2542","0.09","Investment Advisor","Core Value","Active","North America","United States"
"28","ENI.MI","2017-12-31","1997-12-31","0.1502","5457124","90339980.57","Mondrian Investment Partners Ltd.","Aggregate MFs","Investment Managers","LOW","LOW","36.6903","2832","1379","1870","0.26","Investment Advisor","Deep Value","Active","Europe","United Kingdom"
"29","ENI.MI","2017-12-31","2007-12-28","0.1477","5366610","88841545.25","Kairos Partners SGR S.p.A.","Aggregate MFs","Investment Managers","HIGH","HIGH","159.2065","2176","760","1498","1.21","Investment Advisor/Hedge Fund","GARP","Active","Europe","Italy"
"30","ENI.MI","2017-12-31","2007-09-30","0.1385","5034301","83340355.56","AG2R La Mondiale Gestion d'Actifs SA","Aggregate MFs","Investment Managers",".",".",".","2119","1011","1418","0.09","Investment Advisor",".","Active","Europe","France"
"31","ENI.MI","2017-12-31","2007-03-31","0.1379","5011494","82962796.99","UBS Asset Management (UK) Ltd.","Aggregate MFs","Investment Managers","LOW","LOW","33.0845","3140","1938","2020","0.02","Investment Advisor","Core Value","Active","Europe","United Kingdom"
"32","ENI.MI","2017-12-31","2007-03-31","0.1378","5007171","82891212.32","Charles Schwab Investment Management, Inc.","Aggregate MFs","Investment Managers","LOW","LOW","19.0748","875","140","542","0.02","Investment Advisor","Index","Passive","North America","United States"
"33","ENI.MI","2017-12-31","2007-03-31","0.1317","4784451","79204194.08","Dimensional Fund Advisors, L.P.","Aggregate MFs","Investment Managers","LOW","LOW","22.5854","8565","3237","1363","0.04","Investment Advisor/Hedge Fund","Deep Value","Passive","North America","United States"
"34","ENI.MI","2017-12-31","2000-06-30","0.131","4760804","78812748.41","Franklin Templeton Investment Management Ltd.","Aggregate MFs","Investment Managers","MED","MED","63.5636","259","87","225","0.31","Investment Advisor/Hedge Fund","Core Value","Active","Europe","United Kingdom"
"35","ENI.MI","2017-03-31","2012-12-31","0.1273","4625407","75607365.36","APG Asset Management N.V.","Aggregate MFs","Investment Managers","LOW","LOW","37.3406","5380","1623","4201","0.01","Pension Fund","Core Growth","Active","Europe","Netherlands"
"36","ENI.MI","2017-12-31","1997-06-30","0.1267","4605531","76242262.94","Nuveen LLC","Aggregate MFs","Investment Managers","LOW","LOW","27.7922","10970","3015","6555","0.43","Pension Fund","GARP","Active","North America","United States"
"37","ENI.MI","2017-12-31","1997-06-30","0.1255","4561551","75514213.84","Eurizon Capital SGR S.p.A.","Aggregate MFs","Investment Managers","HIGH","HIGH","111.5637","5267","1066","2929","0.47","Investment Advisor/Hedge Fund","Core Growth","Active","Europe","Italy"
"38","ENI.MI","2017-12-31","1997-03-31","0.1226","4455277","73754900.49","Santander Asset Management","Aggregate MFs","Investment Managers","MED","MED","58.8135","1198","341","538","0.32","Investment Advisor","Core Growth","Active","Europe","Spain"
"39","ENI.MI","2017-12-31","1999-06-30","0.114","4142614","68578903.46","Eurizon Capital S.A.","Aggregate MFs","Investment Managers","HIGH","HIGH","114.315","10473","5692","2982","0.28","Investment Advisor","Core Value","Active","Europe","Luxembourg"
"40","ENI.MI","2017-12-31","2002-09-30","0.1095","3978526","65862508.67","Thompson, Siegel & Walmsley LLC","Aggregate MFs","Investment Managers","LOW","LOW","46.6245","7245","3598","5366","0.03","Investment Advisor","Core Value","Active","North America","United States"
"41","ENI.MI","2017-12-31","1997-03-31","0.1053","3825509","63329403.68","Fidelity International","Aggregate MFs","Investment Managers","MED","MED","75.6317","5415","2626","4400","0.03","Investment Advisor","Core Growth","Active","Europe","United Kingdom"
"42","ENI.MI","2017-12-31","2010-06-30","0.1046","3799783","62903522.51","Franklin Advisers, Inc.","Aggregate MFs","Investment Managers","LOW","LOW","43.1227","5210","1346","2086","0.05","Investment Advisor/Hedge Fund","Income Value","Active","North America","United States"
"43","ENI.MI","2017-12-31","2015-12-31","0.1043","3790862","62755824.98","ARCA Fondi SGR S.p.A","Aggregate MFs","Investment Managers","MED","MED","68.79","5334","1461","2251","0.24","Investment Advisor",".","Active","Europe","Italy"
"44","ENI.MI","2017-12-31","2011-03-31","0.0964","3505000","58023522.5","Fidecum AG","Aggregate MFs","Investment Managers","LOW","LOW","44.895","6553","1653","3598","0.02","Investment Advisor",".","Active","Europe","Germany"
"45","ENI.MI","2017-12-31","1997-09-30","0.0913","3319709","54956135.6","Credit Suisse Asset Management","Aggregate MFs","Investment Managers","LOW","LOW","32.5301","4950","2019","1954","0.58","Investment Advisor/Hedge Fund","Core Growth","Active","Europe","Switzerland"
"46","ENI.MI","2016-12-31","1997-12-31","0.0893","3246671","52802883.14","Caisse de Depot et Placement du Quebec","Aggregate MFs","Investment Managers","LOW","LOW","17.6997","523","79","214","0.05","Pension Fund","GARP","Active","North America","Canada"
"47","ENI.MI","2017-03-31","2017-03-31","0.0888","3228805","52778369.41","Florida State Board of Administration","Aggregate MFs","Investment Managers","LOW","LOW","39.7923","3124","1615","1653","0.01","Pension Fund","Index","Passive","North America","United States"
"48","ENI.MI","2017-12-31","2000-09-30","0.0879","3194269","52879526.16","Covéa Finance S.A.S.","Aggregate MFs","Investment Managers","LOW","LOW","14.8044","5964","1663","1811","0.13","Investment Advisor","GARP","Active","Europe","France"
"49","ENI.MI","2017-12-31","1998-09-30","0.086","3123844","51713687.7","State Street Global Advisors (UK) Ltd.","Aggregate MFs","Investment Managers","LOW","LOW","38.4743","182","59","104","0.05","Investment Advisor/Hedge Fund","Index","Passive","Europe","United Kingdom"
"50","ENI.MI","2017-12-31","1997-03-31","0.0852","3095281","51240841.4","BNP Paribas Asset Management France SAS","Aggregate MFs","Investment Managers","MED","MED","67.8089","8761","4606","4977","0.04","Investment Advisor/Hedge Fund","Core Growth","Active","Europe","France"
"51","ENI.MI","2017-12-31","1997-03-31","0.0844","3068200","50792516.9","Northern Trust Investments, Inc.","Aggregate MFs","Investment Managers","LOW","LOW","12.6565","4722","1572","3939","0.03","Investment Advisor/Hedge Fund","Index","Passive","North America","United States"
"52","ENI.MI","2017-12-31","2016-09-30","0.0838","3044058","50392870.05","Federated Hermes Global Investment Management Corp.","Aggregate MFs","Investment Managers","LOW","LOW","44.227","4553","573","1201","0.22","Investment Advisor/Hedge Fund","Core Value","Active","North America","United States"
"53","ENI.MI","2017-12-31","2010-12-31","0.0831","3018520","49970089.34","Oldfield Partners LLP","Aggregate MFs","Investment Managers","LOW","LOW","40.4166","6016","3451","3635","0.03","Investment Advisor","Core Value","Active","Europe","United Kingdom"
"54","ENI.MI","2017-12-31","2006-06-30","0.0822","2985968","49431207.26","Fideuram Asset Management (Ireland) dac","Aggregate MFs","Investment Managers","MED","MED","67.3786","7567","2623","1976","0.02","Investment Advisor","GARP","Active","Europe","Ireland"
"55","ENI.MI","2017-12-31","1997-12-31","0.079","2872059","47545500.72","Generali Insurance Asset Management S.p.A. SGR","Aggregate MFs","Investment Managers","MED","MED","74.7555","1158","310","667","0.02","Investment Advisor","GARP","Active","Europe","Italy"
"56","ENI.MI","2017-12-31","2012-10-31","0.0789","2866397","47451780.33","DNCA Investments","Aggregate MFs","Investment Managers","LOW","LOW","42.3935","6948","810","1545","0.05","Investment Advisor","GARP","Active","Europe","France"
"57","ENI.MI","2017-12-31","2002-03-31","0.078","2835796","46945195.96","Allspring Global Investments, LLC","Aggregate MFs","Investment Managers","MED","MED","63.5413","1702","173","951","0.36","Investment Advisor/Hedge Fund","Core Value","Active","North America","United States"
"58","ENI.MI","2017-12-31","1997-06-30","0.075","2725288","45115780.2","AXA Investment Managers Paris","Aggregate MFs","Investment Managers","MED","MED","60.1735","5939","2332","2740","0.1","Investment Advisor/Hedge Fund","Core Growth","Active","Europe","France"
"59","ENI.MI","2017-12-31","1997-06-30","0.0748","2718486","45003187.1","T. Rowe Price International Ltd","Aggregate MFs","Investment Managers","LOW","LOW","44.5985","6619","3534","4145","0.06","Investment Advisor/Hedge Fund","GARP","Active","Europe","United Kingdom"
"60","ENI.MI","2017-10-31","1998-10-31","0.0738","2680555","43822249.25","Bessemer Trust Company, N.A. (US)","Aggregate MFs","Investment Managers","MED","MED","55.5914","1508","822","1222","0.05","Investment Advisor","Growth","Active","North America","United States"
"61","ENI.MI","2017-12-31","1998-12-31","0.0729","2650000","43869435.35","Fidelity Investments Canada ULC","Aggregate MFs","Investment Managers","MED","MED","51.0855","301","16","388","0.29","Investment Advisor","GARP","Active","North America","Canada"
