"","Instrument","Holdings Filing Date","Earliest Holdings Date","Holdings Pct Of Traded Shares Held","Investor Shares Held","Holdings Value Held","Investor Full Name","Holdings Filing Type","Investor Parent Type Description","Investor Turnover","Investor Turnover code","Investor Turnover %","Investor Portfolio Number Of Securities Held","Investor Portfolio Num Of  Securities Bought","Investor Portfolio Number Of Securities Sold","Holdings Percent of  Portfolio","Investor Type Description","Investor Investment Style Code","Investor Investment Orientation","Investor Address Region","Investor Address Country"
"0","ENI.MI","2019-12-31","1997-06-19","30.1","1093889784","16958904881.53","Italian Government","Shareholder Report","Strategic Entities","LOW","LOW","0.7781","14251","7400","4096","26.43","Government Agency",".","Passive","Europe","Italy"
"1","ENI.MI","2019-12-31","2007-03-31","1.9801","71959543","1115610606.21","The Vanguard Group, Inc.","Aggregate MFs","Investment Managers","LOW","LOW","7.7787","12897","7577","6095","0.02","Investment Advisor/Hedge Fund","Index","Passive","North America","United States"
"2","ENI.MI","2019-12-31","1999-12-31","1.5055","54711584","848210269.94","Norges Bank Investment Management (NBIM)","Aggregate MFs","Investment Managers","LOW","LOW","12.8994","3432","1245","1878","0.03","Sovereign Wealth Fund","Core Value","Active","Europe","Norway"
"3","ENI.MI","2019-12-31","2000-09-30","1.4542","52850058","819350468.13","BlackRock Institutional Trust Company, N.A.","Aggregate MFs","Investment Managers","LOW","LOW","12.3385","7613","3052","2904","0.09","Investment Advisor","Index","Passive","North America","United States"
"4","ENI.MI","2019-12-31","2007-03-31","0.9759","35467673","549866084.84","Templeton Investment Counsel, L.L.C.","Aggregate MFs","Investment Managers","LOW","LOW","34.9288","10272","4991","5113","0.13","Investment Advisor/Hedge Fund","Core Value","Active","North America","United States"
"5","ENI.MI","2019-12-31","2007-03-31","0.8327","30260737","469141377.8","Schroder Investment Management Ltd. (SIM)","Aggregate MFs","Investment Managers","LOW","LOW","47.8063","11429","6730","3335","0.76","Investment Advisor/Hedge Fund","Core Growth","Active","Europe","United Kingdom"
"6","ENI.MI","2019-12-31","2007-03-31","0.5441","19772969","306546331.63","BlackRock Advisors (UK) Limited","Aggregate MFs","Investment Managers","MED","MED","72.6779","1297","588","736","0.06","Investment Advisor/Hedge Fund","Index","Passive","Europe","United Kingdom"
"7","ENI.MI","2019-12-31","2001-09-30","0.4926","17900208","277512350.21","Thornburg Investment Management, Inc.","Aggregate MFs","Investment Managers","LOW","LOW","48.666","17456","6599","4060","0.12","Investment Advisor","Core Value","Active","North America","United States"
"8","ENI.MI","2019-12-31","2007-03-31","0.4507","16379640","253938523.62","MFS Investment Management","Aggregate MFs","Investment Managers","LOW","LOW","19.5325","14926","5454","5808","0.18","Investment Advisor/Hedge Fund","Core Growth","Active","North America","United States"
"9","ENI.MI","2019-12-31","1997-03-31","0.4338","15763346","244383930.94","Amundi Asset Management, SAS","Aggregate MFs","Investment Managers","MED","MED","87.4832","9687","5896","3144","0.05","Investment Advisor/Hedge Fund","GARP","Active","Europe","France"
