"","Instrument","Holdings Filing Date","Earliest Holdings Date","Holdings Pct Of Traded Shares Held","Investor Shares Held","Holdings Value Held","Investor Full Name","Holdings Filing Type","Investor Parent Type Description","Investor Turnover","Investor Turnover code","Investor Turnover %","Investor Portfolio Number Of Securities Held","Investor Portfolio Num Of  Securities Bought","Investor Portfolio Number Of Securities Sold","Holdings Percent of  Portfolio","Investor Type Description","Investor Investment Style Code","Investor Investment Orientation","Investor Address Region","Investor Address Country"
"0","ENI.MI","2018-12-31","1997-06-19","30.1","1093889784","17198399815.68","Italian Government","Shareholder Report","Strategic Entities","LOW","LOW","1.0795","14251","7400","4096","26.43","Government Agency",".","Passive","Europe","Italy"
"1","ENI.MI","2018-12-31","2007-03-31","1.8736","68091521","1070551365.73","The Vanguard Group, Inc.","Aggregate MFs","Investment Managers","LOW","LOW","10.2119","12897","7577","6095","0.02","Investment Advisor/Hedge Fund","Index","Passive","North America","United States"
"2","ENI.MI","2018-12-31","1999-12-31","1.5938","57922675","910671880.89","Norges Bank Investment Management (NBIM)","Aggregate MFs","Investment Managers","LOW","LOW","14.0007","3432","1245","1878","0.03","Sovereign Wealth Fund","Core Value","Active","Europe","Norway"
"3","ENI.MI","2018-12-31","2000-09-30","1.3382","48631977","764603707.34","BlackRock Institutional Trust Company, N.A.","Aggregate MFs","Investment Managers","LOW","LOW","13.2036","7613","3052","2904","0.09","Investment Advisor","Index","Passive","North America","United States"
"4","ENI.MI","2018-12-31","2007-03-31","1.2528","45528331","715807434.1","Templeton Investment Counsel, L.L.C.","Aggregate MFs","Investment Managers","LOW","LOW","38.308","10272","4991","5113","0.13","Investment Advisor/Hedge Fund","Core Value","Active","North America","United States"
"5","ENI.MI","2018-12-31","2007-03-31","0.9722","35330377","555472734.25","Schroder Investment Management Ltd. (SIM)","Aggregate MFs","Investment Managers","LOW","LOW","49.5536","11429","6730","3335","0.76","Investment Advisor/Hedge Fund","Core Growth","Active","Europe","United Kingdom"
"6","ENI.MI","2018-12-31","2007-03-31","0.5599","20346403","319891070.13","BlackRock Advisors (UK) Limited","Aggregate MFs","Investment Managers","LOW","LOW","29.6786","1297","588","736","0.06","Investment Advisor/Hedge Fund","Index","Passive","Europe","United Kingdom"
"7","ENI.MI","2018-12-31","2012-12-31","0.4577","16632016","261491881.96","APG Asset Management N.V.","Aggregate MFs","Investment Managers","LOW","LOW","46.0934","17456","6599","4060","0.12","Pension Fund","Core Growth","Active","Europe","Netherlands"
"8","ENI.MI","2018-12-31","2001-12-31","0.423","15373247","241701263.98","BlackRock Asset Management Deutschland AG","Aggregate MFs","Investment Managers","LOW","LOW","28.961","14926","5454","5808","0.18","Investment Advisor","Index","Passive","Europe","Germany"
"9","ENI.MI","2018-12-31","2001-09-30","0.4228","15365749","241583378.93","Thornburg Investment Management, Inc.","Aggregate MFs","Investment Managers","LOW","LOW","48.731","9687","5896","3144","0.05","Investment Advisor","Core Value","Active","North America","United States"
